			BibTeX Key	Autor, Herausgeber oder Institution	Titel	Zeitschrift/Zeitung	Kategorien	Schlagwörter
FALSCH	FALSCH	FALSCH	Asselborn.2021	Asselborn, Franka Margot	„Aus Liebe?“ Der Weg in die Zwangsprostitution durch „Loverboys*“. Praxisbezogene Implikationen für Fachkräfte in der professionellen Arbeit mit jungen Menschen	UJ (unsere jugend)	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Betroffene sexualisierter Gewalt // sexual assault survivors; Prävention // prevention; Praxis // practice; Soziale Arbeit // Social Work; Täter*in // offender
WAHR	FALSCH	FALSCH	Baer.2021	Baer, Steffen; Höblich, Davina	Umgang mit sexueller und geschlechtlicher Vielfalt	Sozial Extra (Sozial Extra)	1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*	Frauen // women; Geschlecht // gender; Geschlechterverhältnis // gender ratio; Intergeschlechtlichkeit // intersexuality; Queer Theorie // Queer Theory; Queerness // Queerness; Recht // law; Sexualität // sexuality; Trans* // trans*
FALSCH	FALSCH	FALSCH	Beckmann.2021	Beckmann, Kathinka; Breitfeld, Franziska; Gollmann, Claus; Werner, Katja; Morawetz, Vera	Kindeswohlgefährdung - was kommt danach?		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.3 Kinderschutz; 8 Forschung	Bedarfe // needs; Forschungsergebnisse // research results; Kinder // children; Kindeswohl // child welfare
WAHR	FALSCH	FALSCH	Busche.2021	Busche, Mart	Next Stop: Postheteronormativität	Sozial Extra (Sozial Extra)	1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Geschlecht // gender; Intergeschlechtlichkeit // intersexuality; Macht // power; Queer Theorie // Queer Theory; Queerness // Queerness; Recht // law; Sexualität // sexuality; Sexualkultur // sexuality culture; Trans* // trans*
FALSCH	FALSCH	FALSCH	Christmann.2021b	Christmann, Bernd; Wazlawik, Martin	Sexualisierte Gewalt – Grundlagen und Perspektiven für den Primarbereich.	Die Grundschulzeitschrift 33	2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.2 Grundschule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 4 Fachkräfte; 4.2 Andere Fachkräfte; 5.1 Kinder; 6 Gewalt; 6.1 Sexueller Missbrauch	Grundschule // elementary school; Schule // school; Schüler*innen // pupils; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	DeutscheGesellschaftfurKinderschutz.2021	Deutsche Gesellschaft für Kinderschutz, Deutsche Gesellschaft für	AWMF S3+ Kinderschutzleitlinie		1 Soziale Rahmung; 1.2 Leitlinien; 3 Thematischer Fokus; 3.3 Kinderschutz; 3.5 Praxismaterialien	Handlungsempfehlungen // guidelines; Kinder // children; Kinderschutz // child protection; Kindeswohl // child welfare
FALSCH	FALSCH	FALSCH	Doneit.2021	Doneit, Madeline	„Unsere eigene Ordnung“ que(e)r zur Norm? Sexuelle Selbstbestimmung von jungen lesbischen, bisexuellen, queeren und trans*Frauen* unterstützen	UJ (unsere jugend)	1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Intergeschlechtlichkeit // intersexuality; Macht // power; Normen // norms; Queerness // Queerness; Recht // law; Selbstbestimmung // agency; Sexualität // sexuality; Trans* // trans*
FALSCH	FALSCH	FALSCH	Enders.2021	Enders, Ursula; Villier, Ilka	Sexuelle Übergriffe durch Kinder wahrnehmen - schützen - vorbeugen		1 Soziale Rahmung; 1.2 Leitlinien; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 3.5 Praxismaterialien	Handbuch // handbook; Kinder // children; Pädagogische Fachkräfte // pedagogial staff; Sexueller Übergriff // sexual assault
FALSCH	FALSCH	FALSCH	Fegert.2020d	Fegert, Jörg M.; Gulde, Manuela; Henn, Katharina; Husmann, Laura; Kampert, Meike; Röseler, Kirsten; Rusack, Tanja; Schröer, Wolfgang; Wolff, Mechthild; Ziegenhain, Ute	Qualitätsstandards: Schutzkonzepte in der Pflegekinderhilfe.	Das Jugendamt. Forum für Fachfragen.	1 Soziale Rahmung; 1.2 Leitlinien; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 3.5 Praxismaterialien	Handlungsempfehlungen // guidelines; Pflegekinderhilfe // foster care; Schutzfaktoren // protection factor; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	FredericVobbe.2020	Frederic Vobbe; Katharina Kärgel	Sexualisierte Gewalt mit digitalem Medieneinsatz gegen Jungen - Geschlechterbezogene Risiken und Herausforderungen für die Prävention	TUP - Theorie und Praxis der Sozialen Arbeit	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 8 Forschung; 9 Förderlinie; 9.2.4 HUman	Digitale Medien // digital media; Geschlecht // gender; Jungen // boys; Medien // media; Prävention // prevention; Sexualisierte Gewalt // sexual violence
